title,ingredients,calories
Chicken and Broccoli,"200g Chicken, 100g Broccoli",367
Mango Banana Smoothie,"2 Banana's, 1 Cup Yoghurt, 1 Cup Ice, 1/2 Cup Mango",220
Chunky Overnight Protein Oats,"1 Cup Oats, 200ml Oat Milk, 1tbs Walnuts, 1tbs Dark Chocolate Chips", 450
Grilled Salmon Salad,"150g Salmon,100g Mixed Greens,50g Cherry Tomatoes,1/4 Avocado",365
Veggie Stir-Fry,"200g Tofu,150g Broccoli,100g Bell Peppers,2tbs Soy Sauce",245
Quinoa and Black Bean Bowl,"1 Cup Cooked Quinoa,100g Black Beans,50g Corn,2tbs Salsa",310
Creamy Mushroom Risotto,"200g Arborio Rice,150g Mushrooms,1/4 Cup Heavy Cream",520
Pesto Pasta with Sun-Dried Tomatoes,"150g Penne Pasta,3tbs Pesto Sauce,30g Sun-Dried Tomatoes",420
BBQ Pulled Pork Sandwich,"200g Pulled Pork,1 Burger Bun,2tbs BBQ Sauce,50g Coleslaw",680
Sweet Potato and Chickpea Curry,"200g Chickpeas,150g Sweet Potatoes,1/2 Cup Coconut Milk",410
Shrimp Scampi,"150g Shrimp,100g Linguine Pasta,2 Cloves Garlic,2tbs Butter",475
Caprese Salad,"150g Fresh Mozzarella,100g Cherry Tomatoes,Fresh Basil,2tbs Balsamic Glaze",260
Teriyaki Chicken Bowl,"200g Grilled Chicken,1 Cup Steamed Rice,2tbs Teriyaki Sauce,50g Broccoli",580
Spinach and Feta Stuffed Chicken,"200g Chicken Breast,50g Spinach,50g Feta Cheese",325
Classic Margherita Pizza,"1 Pizza Dough,100g Tomato Sauce,150g Mozzarella Cheese,Fresh Basil",720
Greek Salad,"150g Cucumbers,100g Kalamata Olives,50g Feta Cheese,2tbs Greek Dressing",290
Beef and Vegetable Stir-Fry,"200g Beef Strips,100g Snap Peas,100g Carrots,2tbs Stir-Fry Sauce",460
Tuna Salad Sandwich,"150g Canned Tuna,2 Slices Whole Wheat Bread,2tbs Mayonnaise",320
Butternut Squash Soup,"300g Butternut Squash,1 Cup Vegetable Broth,1/4 Cup Cream",280
Sushi Roll Platter,"Assorted Sushi Rolls (200g),Soy Sauce,Wasabi,Pickled Ginger",650
Roast Beef with Mashed Potatoes,"200g Roast Beef,150g Mashed Potatoes,Gravy",590
Eggplant Parmesan,"150g Eggplant Slices,100g Marinara Sauce,150g Mozzarella Cheese",390
Mango Salsa Chicken,"200g Grilled Chicken,1/2 Cup Mango Salsa,50g Brown Rice",420
Blackened Catfish,"150g Catfish Fillet,100g Quinoa,Cajun Spice",365
BLT Sandwich,"3 Strips Bacon,Lettuce,Tomato,2 Slices Bread",420
Beef Tacos,"150g Ground Beef,2 Taco Shells,Lettuce,Tomato,Cheese",380
Chicken Fajitas,"200g Chicken Strips,100g Bell Peppers,2tbs Fajita Seasoning",340
Lemon Garlic Shrimp,"150g Shrimp,100g Asparagus,2 Cloves Garlic,Lemon Zest",260
Avocado Toast,"1 Avocado,2 Slices Whole Wheat Bread,Salt,Pepper",330
Beef and Broccoli Stir-Fry,"200g Beef Strips,100g Broccoli,2tbs Soy Sauce",310
Veggie Omelette,"3 Eggs,Bell Peppers,Onions,Spinach,Cheese",290
Baked Cod with Lemon Butter,"150g Cod Fillet,2tbs Lemon Butter Sauce,100g Green Beans",375
Chicken Alfredo,"200g Chicken Breast,150g Fettuccine Pasta,Alfredo Sauce",620
Caesar Salad,"150g Romaine Lettuce,2tbs Caesar Dressing,Croutons,Parmesan Cheese",280
Spaghetti Carbonara,"150g Spaghetti,2 Eggs,3 Strips Bacon,Parmesan Cheese",460
Grilled Portobello Mushrooms,"2 Portobello Mushrooms,Balsamic Glaze,Garlic,Thyme",220
Tofu and Vegetable Curry,"200g Tofu,100g Mixed Vegetables,1 Cup Coconut Milk",330
Pecan-Crusted Salmon,"150g Salmon,2tbs Chopped Pecans,Lemon Zest,Dijon Mustard",405
Tomato Basil Soup,"300g Tomatoes,1 Cup Vegetable Broth,Fresh Basil",180
Turkey Club Wrap,"150g Sliced Turkey,Bacon,Lettuce,Tomato,Flour Tortilla",420
Beef and Black Bean Chili,"200g Ground Beef,100g Black Beans,Chili Seasoning",385
Veggie Burger with Sweet Potato Fries,"1 Veggie Burger,100g Sweet Potato Fries",510
Chicken and Rice Soup,"200g Chicken,1/2 Cup Rice,Carrots,Celery,Chicken Broth",280
Spinach and Artichoke Dip,"Spinach,Artichoke Hearts,Cream Cheese,Garlic,Tortilla Chips",320
Teriyaki Salmon,"150g Salmon,2tbs Teriyaki Sauce,100g Steamed Broccoli",350
Strawberry Spinach Salad,"150g Baby Spinach,100g Strawberries,2tbs Balsamic Vinaigrette",160
Pork Tenderloin with Apples,"200g Pork Tenderloin,1 Apple,Cinnamon,Brown Sugar",480
Caprese Panini,"Mozzarella Cheese,Tomato,Fresh Basil,Ciabatta Bread",430
Cilantro Lime Rice,"1 Cup Cooked Rice,Lime Juice,Fresh Cilantro",210
Beef and Potato Stew,"200g Stew Beef,Potatoes,Carrots,Beef Broth",360
Chicken Quesadilla,"200g Grilled Chicken,2 Flour Tortillas,Cheese,Salsa",415
Hawaiian Pizza,"1 Pizza Dough,Ham,Pineapple,Mozzarella Cheese",560
Lentil Soup,"1 Cup Lentils,Carrots,Onions,Garlic,Vegetable Broth",280
Spicy Shrimp Tacos,"150g Shrimp,2 Flour Tortillas,Sriracha Sauce,Coleslaw",320
Garlic Butter Shrimp Pasta,"150g Shrimp,150g Linguine Pasta,Garlic,Butter",460
Beef Stroganoff,"200g Beef Strips,1 Cup Egg Noodles,Sour Cream,Mushrooms",480
Tandoori Chicken,"200g Tandoori Chicken,Basmati Rice,Naan Bread",670
Greek Moussaka,"Eggplant,Ground Lamb,Bechamel Sauce,Nutmeg",590
Shrimp and Crab Stuffed Mushrooms,"Stuffed Mushrooms,Shrimp,Crab,Parmesan Cheese",310
Teriyaki Tofu Stir-Fry,"200g Tofu,100g Broccoli,2tbs Teriyaki Sauce,Rice",360
Cajun Jambalaya,"200g Andouille Sausage,Chicken,Shrimp,Rice,Cajun Spice",520
Baked Ziti,"150g Ziti Pasta,Marinara Sauce,Ricotta Cheese,Mozzarella Cheese",430
Chicken Marsala,"200g Chicken Cutlets,Marsala Wine,Mushrooms,Olive Oil",410
Corn Chowder,"Corn,Potatoes,Bacon,Half-and-Half,Fresh Thyme",310
Ratatouille,"Eggplant,Zucchini,Bell Peppers,Tomatoes,Herbes de Provence",220
Beef and Cabbage Rolls,"200g Ground Beef,Cabbage Leaves,Rice,Tomato Sauce",370
Chicken Shawarma,"200g Grilled Chicken,Pita Bread,Tzatziki Sauce,Lettuce",430
Creamy Broccoli Soup,"300g Broccoli,1 Cup Chicken Broth,Cream,Cheddar Cheese",290
Portobello Mushroom Burger,"2 Portobello Mushrooms,Swiss Cheese,Brioche Bun",340
Lemon Herb Roasted Chicken,"200g Roast Chicken,Lemon,Fresh Herbs,Garlic",450
Spinach and Feta Stuffed Mushrooms,"Stuffed Mushrooms,Spinach,Feta Cheese",280
Garlic Butter Shrimp Scampi,"150g Shrimp,150g Linguine Pasta,Garlic,Butter",480
Tuna Poke Bowl,"150g Ahi Tuna,Sushi Rice,Avocado,Soy Sauce",350
Beef and Vegetable Pot Pie,"200g Stew Beef,Mixed Vegetables,Puff Pastry",520
Mushroom Risotto with Truffle Oil,"200g Arborio Rice,150g Mushrooms,Truffle Oil",540
Roasted Vegetable Wrap,"Roasted Vegetables,Hummus,Whole Wheat Wrap",320
Chicken and Dumplings,"200g Chicken,Dumplings,Carrots,Peas",390
Falafel Wrap,"Falafel,Pita Bread,Tzatziki Sauce,Lettuce,Tomato",380
Sweet and Sour Pork,"200g Pork,Pineapple,Bell Peppers,Sweet and Sour Sauce",460
BBQ Chicken Pizza,"1 Pizza Dough,200g BBQ Chicken,Red Onions,Mozzarella Cheese",590
Tomato and Mozzarella Stuffed Chicken,"200g Chicken Breast,Tomato,Mozzarella Cheese",370
Lentil and Spinach Curry,"1 Cup Lentils,Spinach,Curry Sauce",310
Broccoli Cheddar Stuffed Potatoes,"2 Baked Potatoes,Broccoli,Cheddar Cheese",380
Shrimp and Asparagus Risotto,"150g Shrimp,200g Arborio Rice,100g Asparagus",530
Turkey and Cranberry Panini,"Turkey,Cranberry Sauce,Brie Cheese,Ciabatta Bread",460
Butternut Squash and Apple Soup,"300g Butternut Squash,Apples,Cinnamon,Cream",260
Beef and Mushroom Stroganoff,"200g Beef Strips,Mushrooms,Egg Noodles,Sour Cream",480
Chicken Enchiladas,"200g Shredded Chicken,Tortillas,Enchilada Sauce,Cheese",420
Portobello Mushroom Fajitas,"2 Portobello Mushrooms,Bell Peppers,Onions,Tortillas",360
Strawberry and Spinach Stuffed Chicken,"200g Chicken Breast,Strawberries,Baby Spinach",345
Pesto Gnocchi,"150g Gnocchi,2tbs Pesto Sauce,Parmesan Cheese",380
Cajun Blackened Salmon,"150g Salmon,Cajun Spice,Lemon Butter Sauce",375
Caprese Stuffed Avocado,"Avocado,Mozzarella Cheese,Cherry Tomatoes,Balsamic Glaze",310
Mediterranean Quinoa Salad,"1 Cup Cooked Quinoa,Cucumber,Kalamata Olives,Feta Cheese",320
Tofu and Vegetable Spring Rolls,"Tofu,Rice Paper,Cilantro,Peanut Sauce",260
Chicken and Spinach Lasagna,"200g Ground Chicken,Spinach,Lasagna Noodles,Marinara Sauce",470
Greek Spinach Pie (Spanakopita),"Spinach,Feta Cheese,Phyllo Dough,Dill",290
Beef and Mushroom Tacos,"200g Ground Beef,Mushrooms,Taco Shells,Salsa",430
Mango Coconut Rice,"1 Cup Coconut Rice,Mango,Coconut Milk,Shredded Coconut",380
BBQ Pulled Chicken,"200g Pulled Chicken,1 Burger Bun,2tbs BBQ Sauce,Coleslaw",540
Shrimp and Avocado Salad,"150g Shrimp,Avocado,Mixed Greens,Lemon Vinaigrette",295
Lemon Dill Salmon,"150g Salmon,Lemon Juice,Fresh Dill,Olive Oil",365
Vegetable and Chickpea Tagine,"Chickpeas,Carrots,Zucchini,Tomato Sauce,Ras el Hanout",310
Berry Breakfast Parfait,"1 Cup Greek Yogurt,100g Mixed Berries,2tbs Honey",280
Peanut Butter Banana Toast,"2 Slices Whole Wheat Bread,2tbs Peanut Butter,1 Banana",380
Oatmeal with Almonds and Berries,"1 Cup Oatmeal,30g Almonds,100g Mixed Berries",350
Veggie Omelette,"3 Eggs,Bell Peppers,Onions,Spinach,Cheese",290
Chia Seed Pudding,"3tbs Chia Seeds,1 Cup Almond Milk,2tbs Maple Syrup",220
Greek Yogurt with Granola,"1 Cup Greek Yogurt,50g Granola,2tbs Honey",420
Avocado Toast with Egg,"1 Avocado,2 Slices Whole Wheat Bread,Fried Egg",360
Yogurt and Berries Smoothie,"1 Cup Yogurt,100g Mixed Berries,1tbs Honey",250
Cottage Cheese with Pineapple,"1 Cup Cottage Cheese,100g Pineapple Chunks",280
Whole Wheat Pancakes,"2 Whole Wheat Pancakes,2tbs Maple Syrup,30g Blueberries",360
Apple Slices with Almond Butter,"1 Apple,2tbs Almond Butter",280
Mixed Nuts and Dried Fruit,"30g Mixed Nuts,30g Dried Fruit",220
Fruit Salad,"100g Mixed Fruit,1tbs Lemon Juice,1tbs Honey",180
Scrambled Eggs with Spinach,"3 Eggs,50g Fresh Spinach,1tbs Olive Oil",320
Cinnamon Roll Oatmeal,"1 Cup Oatmeal,1tbs Cinnamon,1tbs Brown Sugar",280
Banana Nut Muffins,"2 Banana Muffins,30g Chopped Walnuts",420
Breakfast Burrito,"2 Scrambled Eggs,50g Sausage,30g Cheese,Flour Tortilla",460
Cranberry and Almond Bars,"2 Bars,50g Dried Cranberries,30g Almonds",380
Blueberry Pancakes,"2 Blueberry Pancakes,2tbs Maple Syrup",390
